log_id,user_id,date,day_of_week,is_weekend,time_of_day,app_name,tab_or_content_name,category,content_type,time_watched_min,session_count,avg_session_length_min,device_type,opened_via_notification,app_switches_during_session,addiction_score,addictive_label,prev_day_same_app_usage_min,daily_total_screen_time_min,daily_quality_score,weekly_total_screen_time_min,user_profile,iso_week
1,U100,2026-06-01,Monday,False,Morning,Snapchat,Stories,Social Media,Video,120.5,1,120.5,Desktop,False,8,62.3,Addictive,,359.7,10.8,1514.6,balanced,23
2,U100,2026-06-01,Monday,False,Afternoon,Netflix,TV Series Binge,Entertainment,Video,59.4,3,19.8,Mobile,True,5,65.7,Addictive,,359.7,10.8,1514.6,balanced,23
3,U100,2026-06-01,Monday,False,Evening,Coursera,,Study,Video,38.9,1,38.9,Desktop,False,0,3.0,Non-addictive,,359.7,10.8,1514.6,balanced,23
4,U100,2026-06-01,Monday,False,Night,Chrome,online-shopping,Shopping,Website,60.1,3,20.0,Mobile,True,5,56.8,Addictive,,359.7,10.8,1514.6,balanced,23
5,U100,2026-06-01,Monday,False,Evening,YouTube,Pokemon Gameplay,Entertainment,Video,80.8,2,40.4,Mobile,False,2,84.7,Addictive,,359.7,10.8,1514.6,balanced,23
6,U101,2026-06-01,Monday,False,Afternoon,Duolingo,,Skill-Development,App,3.0,1,3.0,Mobile,False,0,0.6,Non-addictive,,37.7,100.0,591.5,productive,23
7,U101,2026-06-01,Monday,False,Morning,YouTube,Yoga Tutorial,Self-Improvement,Video,15.6,1,15.6,Desktop,False,0,6.0,Non-addictive,,37.7,100.0,591.5,productive,23
8,U101,2026-06-01,Monday,False,Afternoon,Instagram,DM Chats,Social Media,Chat,9.7,1,9.7,Mobile,False,1,17.7,Non-addictive,,37.7,100.0,591.5,productive,23
9,U101,2026-06-01,Monday,False,Afternoon,Netflix,Documentary,Self-Improvement,Video,9.4,3,3.1,Desktop,False,2,9.7,Non-addictive,,37.7,100.0,591.5,productive,23
10,U102,2026-06-01,Monday,False,Morning,VSCode,,Skill-Development,Code,28.8,1,28.8,Tablet,True,0,7.1,Non-addictive,,69.8,41.3,194.6,light_user,23
11,U102,2026-06-01,Monday,False,Night,TikTok,For You Feed,Entertainment,Video,41.0,4,10.3,Desktop,True,6,50.7,Addictive,,69.8,41.3,194.6,light_user,23
12,U103,2026-06-01,Monday,False,Morning,WhatsApp,Family Group,Communication,Chat,15.6,1,15.6,Mobile,False,0,16.7,Non-addictive,,167.9,9.3,890.6,balanced,23
13,U103,2026-06-01,Monday,False,Evening,TikTok,For You Feed,Entertainment,Video,25.8,4,6.5,Mobile,False,5,96.1,Addictive,,167.9,9.3,890.6,balanced,23
14,U103,2026-06-01,Monday,False,Night,Chrome,online-shopping,Shopping,Website,117.7,6,19.6,Desktop,False,3,57.5,Addictive,,167.9,9.3,890.6,balanced,23
15,U103,2026-06-01,Monday,False,Afternoon,Candy Crush,,Games,Game,8.8,3,2.9,Mobile,True,3,77.3,Addictive,,167.9,9.3,890.6,balanced,23
16,U104,2026-06-01,Monday,False,Night,Chrome,online-shopping,Shopping,Website,110.4,4,27.6,Desktop,True,4,96.3,Addictive,,540.7,0.0,3278.2,heavy_addictive,23
17,U104,2026-06-01,Monday,False,Afternoon,YouTube,Prank Compilation,Entertainment,Video,100.5,4,25.1,Mobile,True,3,100.0,Addictive,,540.7,0.0,3278.2,heavy_addictive,23
18,U104,2026-06-01,Monday,False,Evening,Netflix,TV Series Binge,Entertainment,Video,39.2,4,9.8,Mobile,True,7,100.0,Addictive,,540.7,0.0,3278.2,heavy_addictive,23
19,U104,2026-06-01,Monday,False,Evening,Netflix,TV Series Binge,Entertainment,Video,46.7,1,46.7,Mobile,False,1,100.0,Addictive,39.2,540.7,0.0,3278.2,heavy_addictive,23
20,U104,2026-06-01,Monday,False,Night,PUBG Mobile,,Games,Game,119.8,2,59.9,Tablet,False,1,100.0,Addictive,,540.7,0.0,3278.2,heavy_addictive,23
21,U104,2026-06-01,Monday,False,Night,Candy Crush,,Games,Game,124.1,9,13.8,Desktop,False,3,100.0,Addictive,,540.7,0.0,3278.2,heavy_addictive,23
22,U105,2026-06-01,Monday,False,Evening,VSCode,,Skill-Development,Code,10.3,4,2.6,Mobile,False,3,19.6,Non-addictive,,206.1,46.8,3004.0,heavy_addictive,23
23,U105,2026-06-01,Monday,False,Afternoon,Duolingo,,Skill-Development,App,40.5,3,13.5,Mobile,False,0,24.8,Non-addictive,,206.1,46.8,3004.0,heavy_addictive,23
24,U105,2026-06-01,Monday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,22.7,2,11.4,Mobile,False,3,24.8,Non-addictive,,206.1,46.8,3004.0,heavy_addictive,23
25,U105,2026-06-01,Monday,False,Afternoon,Notion,,Productivity,Notes,17.5,2,8.7,Mobile,False,0,8.6,Non-addictive,,206.1,46.8,3004.0,heavy_addictive,23
26,U105,2026-06-01,Monday,False,Night,Chrome,pornweb,Pornographic,Website,109.6,2,54.8,Mobile,False,5,100.0,Addictive,,206.1,46.8,3004.0,heavy_addictive,23
27,U105,2026-06-01,Monday,False,Night,Netflix,Documentary,Self-Improvement,Video,5.5,1,5.5,Desktop,False,3,30.4,Non-addictive,,206.1,46.8,3004.0,heavy_addictive,23
28,U106,2026-06-01,Monday,False,Evening,Chrome,gmail,Productivity,Webmail,3.0,2,1.5,Desktop,True,0,15.6,Non-addictive,,100.5,23.1,1743.2,heavy_addictive,23
29,U106,2026-06-01,Monday,False,Night,YouTube,Yoga Tutorial,Self-Improvement,Video,8.6,1,8.6,Mobile,False,0,44.9,Non-addictive,,100.5,23.1,1743.2,heavy_addictive,23
30,U106,2026-06-01,Monday,False,Evening,PUBG Mobile,,Games,Game,8.4,4,2.1,Mobile,False,7,100.0,Addictive,,100.5,23.1,1743.2,heavy_addictive,23
31,U106,2026-06-01,Monday,False,Afternoon,YouTube,News Roundup,News,Video,11.6,1,11.6,Desktop,False,2,47.1,Non-addictive,8.6,100.5,23.1,1743.2,heavy_addictive,23
32,U106,2026-06-01,Monday,False,Evening,Free Fire,,Games,Game,68.9,8,8.6,Mobile,False,5,100.0,Addictive,,100.5,23.1,1743.2,heavy_addictive,23
33,U107,2026-06-01,Monday,False,Evening,Instagram,Reels Feed,Social Media,Video,20.1,1,20.1,Mobile,False,0,46.2,Non-addictive,,110.6,100.0,729.8,productive,23
34,U107,2026-06-01,Monday,False,Afternoon,Instagram,DM Chats,Social Media,Chat,20.7,2,10.4,Desktop,False,2,23.2,Non-addictive,20.1,110.6,100.0,729.8,productive,23
35,U107,2026-06-01,Monday,False,Afternoon,Netflix,Documentary,Self-Improvement,Video,16.8,2,8.4,Desktop,True,0,0.8,Non-addictive,,110.6,100.0,729.8,productive,23
36,U107,2026-06-01,Monday,False,Morning,YouTube,Cooking Recipe,Self-Improvement,Video,53.0,2,26.5,Desktop,False,1,8.5,Non-addictive,,110.6,100.0,729.8,productive,23
37,U108,2026-06-01,Monday,False,Afternoon,Coursera,,Study,Video,15.0,2,7.5,Desktop,False,1,3.4,Non-addictive,,55.7,63.4,895.7,balanced,23
38,U108,2026-06-01,Monday,False,Afternoon,YouTube,Study Lecture - Physics,Study,Video,20.3,1,20.3,Desktop,False,1,16.3,Non-addictive,,55.7,63.4,895.7,balanced,23
39,U108,2026-06-01,Monday,False,Afternoon,YouTube,Pokemon Gameplay,Entertainment,Video,20.4,2,10.2,Mobile,True,1,80.1,Addictive,20.3,55.7,63.4,895.7,balanced,23
40,U109,2026-06-01,Monday,False,Afternoon,Netflix,Documentary,Self-Improvement,Video,8.6,3,2.9,Mobile,False,2,14.4,Non-addictive,,8.6,100.0,142.5,light_user,23
41,U110,2026-06-01,Monday,False,Afternoon,Chrome,pornweb,Pornographic,Website,62.4,1,62.4,Mobile,False,2,100.0,Addictive,,393.6,13.4,2942.3,heavy_addictive,23
42,U110,2026-06-01,Monday,False,Evening,Chrome,gmail,Productivity,Webmail,20.3,1,20.3,Tablet,False,3,9.5,Non-addictive,62.4,393.6,13.4,2942.3,heavy_addictive,23
43,U110,2026-06-01,Monday,False,Evening,PUBG Mobile,,Games,Game,70.1,5,14.0,Desktop,False,4,100.0,Addictive,,393.6,13.4,2942.3,heavy_addictive,23
44,U110,2026-06-01,Monday,False,Evening,Snapchat,Stories,Social Media,Video,21.3,1,21.3,Mobile,True,5,98.7,Addictive,,393.6,13.4,2942.3,heavy_addictive,23
45,U110,2026-06-01,Monday,False,Night,YouTube,Music Video Mix,Entertainment,Video,66.5,3,22.2,Mobile,False,6,96.5,Addictive,,393.6,13.4,2942.3,heavy_addictive,23
46,U110,2026-06-01,Monday,False,Night,Instagram,Reels Feed,Social Media,Video,120.4,3,40.1,Mobile,True,5,100.0,Addictive,,393.6,13.4,2942.3,heavy_addictive,23
47,U110,2026-06-01,Monday,False,Evening,Chrome,random-blog,Entertainment,Website,32.6,1,32.6,Mobile,False,2,42.9,Non-addictive,20.3,393.6,13.4,2942.3,heavy_addictive,23
48,U111,2026-06-01,Monday,False,Evening,Duolingo,,Skill-Development,App,11.9,1,11.9,Desktop,False,1,16.7,Non-addictive,,39.9,100.0,642.1,productive,23
49,U111,2026-06-01,Monday,False,Afternoon,Netflix,TV Series Binge,Entertainment,Video,16.0,1,16.0,Mobile,False,0,44.1,Non-addictive,,39.9,100.0,642.1,productive,23
50,U111,2026-06-01,Monday,False,Evening,Khan Academy,,Study,Video,12.0,1,12.0,Tablet,False,0,3.4,Non-addictive,,39.9,100.0,642.1,productive,23
51,U112,2026-06-01,Monday,False,Evening,Spotify,Chill Playlist,Entertainment,Audio,18.4,1,18.4,Mobile,False,0,14.0,Non-addictive,,143.3,100.0,576.2,productive,23
52,U112,2026-06-01,Monday,False,Morning,Candy Crush,,Games,Game,4.7,1,4.7,Mobile,True,0,44.1,Non-addictive,,143.3,100.0,576.2,productive,23
53,U112,2026-06-01,Monday,False,Afternoon,Candy Crush,,Games,Game,15.4,2,7.7,Desktop,True,2,43.8,Non-addictive,4.7,143.3,100.0,576.2,productive,23
54,U112,2026-06-01,Monday,False,Afternoon,Instagram,DM Chats,Social Media,Chat,45.4,2,22.7,Desktop,False,0,8.4,Non-addictive,,143.3,100.0,576.2,productive,23
55,U112,2026-06-01,Monday,False,Afternoon,Duolingo,,Skill-Development,App,59.4,1,59.4,Desktop,True,1,10.4,Non-addictive,,143.3,100.0,576.2,productive,23
56,U113,2026-06-01,Monday,False,Evening,Snapchat,Stories,Social Media,Video,42.4,1,42.4,Mobile,False,3,99.7,Addictive,,214.3,33.5,2151.7,heavy_addictive,23
57,U113,2026-06-01,Monday,False,Night,Instagram,DM Chats,Social Media,Chat,100.1,3,33.4,Mobile,False,6,55.5,Addictive,,214.3,33.5,2151.7,heavy_addictive,23
58,U113,2026-06-01,Monday,False,Afternoon,VSCode,,Skill-Development,Code,13.2,1,13.2,Desktop,False,0,17.4,Non-addictive,,214.3,33.5,2151.7,heavy_addictive,23
59,U113,2026-06-01,Monday,False,Night,Coursera,,Study,Video,21.6,2,10.8,Desktop,False,1,17.1,Non-addictive,,214.3,33.5,2151.7,heavy_addictive,23
60,U113,2026-06-01,Monday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,6.4,3,2.1,Desktop,False,0,19.7,Non-addictive,,214.3,33.5,2151.7,heavy_addictive,23
61,U113,2026-06-01,Monday,False,Evening,WhatsApp,Family Group,Communication,Chat,17.3,1,17.3,Mobile,False,1,30.1,Non-addictive,6.4,214.3,33.5,2151.7,heavy_addictive,23
62,U113,2026-06-01,Monday,False,Evening,VSCode,,Skill-Development,Code,13.3,1,13.3,Tablet,False,0,7.3,Non-addictive,13.2,214.3,33.5,2151.7,heavy_addictive,23
63,U114,2026-06-01,Monday,False,Afternoon,YouTube,Study Lecture - Physics,Study,Video,15.9,1,15.9,Desktop,False,0,13.5,Non-addictive,,522.8,15.5,3149.3,heavy_addictive,23
64,U114,2026-06-01,Monday,False,Evening,Chrome,pornweb,Pornographic,Website,206.5,1,206.5,Mobile,True,1,100.0,Addictive,,522.8,15.5,3149.3,heavy_addictive,23
65,U114,2026-06-01,Monday,False,Night,YouTube,Prank Compilation,Entertainment,Video,61.9,3,20.6,Mobile,False,5,100.0,Addictive,15.9,522.8,15.5,3149.3,heavy_addictive,23
66,U114,2026-06-01,Monday,False,Evening,Chrome,online-shopping,Shopping,Website,128.9,8,16.1,Desktop,True,2,91.7,Addictive,206.5,522.8,15.5,3149.3,heavy_addictive,23
67,U114,2026-06-01,Monday,False,Evening,WhatsApp,Family Group,Communication,Chat,43.5,1,43.5,Mobile,False,2,12.9,Non-addictive,,522.8,15.5,3149.3,heavy_addictive,23
68,U114,2026-06-01,Monday,False,Afternoon,YouTube,News Roundup,News,Video,21.6,1,21.6,Desktop,False,0,41.2,Non-addictive,61.9,522.8,15.5,3149.3,heavy_addictive,23
69,U114,2026-06-01,Monday,False,Night,TikTok,For You Feed,Entertainment,Video,44.5,1,44.5,Mobile,True,5,100.0,Addictive,,522.8,15.5,3149.3,heavy_addictive,23
70,U115,2026-06-01,Monday,False,Afternoon,Free Fire,,Games,Game,66.0,3,22.0,Tablet,True,5,100.0,Addictive,,278.6,18.6,2234.0,heavy_addictive,23
71,U115,2026-06-01,Monday,False,Evening,Instagram,Reels Feed,Social Media,Video,160.8,3,53.6,Mobile,False,3,100.0,Addictive,,278.6,18.6,2234.0,heavy_addictive,23
72,U115,2026-06-01,Monday,False,Afternoon,Chrome,gmail,Productivity,Webmail,10.1,4,2.5,Mobile,False,1,12.8,Non-addictive,,278.6,18.6,2234.0,heavy_addictive,23
73,U115,2026-06-01,Monday,False,Late Night,WhatsApp,Family Group,Communication,Chat,17.5,1,17.5,Desktop,False,1,14.2,Non-addictive,,278.6,18.6,2234.0,heavy_addictive,23
74,U115,2026-06-01,Monday,False,Evening,YouTube,Study Lecture - Physics,Study,Video,24.2,1,24.2,Mobile,False,0,18.8,Non-addictive,,278.6,18.6,2234.0,heavy_addictive,23
75,U116,2026-06-01,Monday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,25.5,1,25.5,Desktop,False,0,8.1,Non-addictive,,216.3,23.1,1055.6,balanced,23
76,U116,2026-06-01,Monday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,24.4,1,24.4,Mobile,False,2,7.0,Non-addictive,25.5,216.3,23.1,1055.6,balanced,23
77,U116,2026-06-01,Monday,False,Night,Snapchat,Stories,Social Media,Video,166.4,2,83.2,Tablet,False,3,68.9,Addictive,,216.3,23.1,1055.6,balanced,23
78,U117,2026-06-01,Monday,False,Afternoon,Coursera,,Study,Video,66.3,1,66.3,Desktop,False,1,3.4,Non-addictive,,229.7,49.8,1072.3,balanced,23
79,U117,2026-06-01,Monday,False,Afternoon,Spotify,Chill Playlist,Entertainment,Audio,16.9,3,5.6,Desktop,True,2,24.1,Non-addictive,,229.7,49.8,1072.3,balanced,23
80,U117,2026-06-01,Monday,False,Afternoon,WhatsApp,Family Group,Communication,Chat,24.6,3,8.2,Mobile,False,1,16.4,Non-addictive,,229.7,49.8,1072.3,balanced,23
81,U117,2026-06-01,Monday,False,Night,Instagram,Reels Feed,Social Media,Video,115.4,5,23.1,Desktop,True,3,72.5,Addictive,,229.7,49.8,1072.3,balanced,23
82,U117,2026-06-01,Monday,False,Afternoon,Notion,,Productivity,Notes,6.5,2,3.2,Desktop,True,1,16.0,Non-addictive,,229.7,49.8,1072.3,balanced,23
83,U118,2026-06-01,Monday,False,Evening,Free Fire,,Games,Game,76.9,4,19.2,Mobile,True,3,89.3,Addictive,,152.6,49.6,927.1,balanced,23
84,U118,2026-06-01,Monday,False,Afternoon,Coursera,,Study,Video,37.0,2,18.5,Tablet,False,2,9.7,Non-addictive,,152.6,49.6,927.1,balanced,23
85,U118,2026-06-01,Monday,False,Afternoon,Instagram,DM Chats,Social Media,Chat,8.4,1,8.4,Tablet,False,3,31.7,Non-addictive,,152.6,49.6,927.1,balanced,23
86,U118,2026-06-01,Monday,False,Evening,WhatsApp,Family Group,Communication,Chat,19.3,2,9.7,Desktop,True,0,8.1,Non-addictive,,152.6,49.6,927.1,balanced,23
87,U118,2026-06-01,Monday,False,Afternoon,Chrome,gmail,Productivity,Webmail,11.0,2,5.5,Desktop,False,1,1.8,Non-addictive,,152.6,49.6,927.1,balanced,23
88,U119,2026-06-01,Monday,False,Night,YouTube,Prank Compilation,Entertainment,Video,111.7,4,27.9,Mobile,False,6,70.7,Addictive,,295.1,40.2,1315.6,balanced,23
89,U119,2026-06-01,Monday,False,Afternoon,Netflix,Documentary,Self-Improvement,Video,31.5,2,15.7,Mobile,False,2,30.3,Non-addictive,,295.1,40.2,1315.6,balanced,23
